Para la k 5 la media cuadrada de los errores es: 0.736773
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 8 10 jaccard sm 0.42 jaccard directo 0.221601 error relativo 0.89529
 documentos 8 11 jaccard sm 0.54 jaccard directo 0.269598 error relativo 1.00298
 documentos 8 12 jaccard sm 0.55 jaccard directo 0.286853 error relativo 0.917358
 documentos 8 13 jaccard sm 0.52 jaccard directo 0.267442 error relativo 0.944344
 documentos 8 14 jaccard sm 0.51 jaccard directo 0.332618 error relativo 0.533289
 documentos 8 15 jaccard sm 0.49 jaccard directo 0.30303 error relativo 0.616998
 documentos 8 16 jaccard sm 0.5 jaccard directo 0.289827 error relativo 0.725163
 documentos 8 17 jaccard sm 0.48 jaccard directo 0.291585 error relativo 0.646172
 documentos 8 18 jaccard sm 0.55 jaccard directo 0.303327 error relativo 0.813223
 documentos 8 19 jaccard sm 0.52 jaccard directo 0.338266 error relativo 0.537248
 documentos 9 10 jaccard sm 0.53 jaccard directo 0.350806 error relativo 0.510803
 documentos 9 11 jaccard sm 0.5 jaccard directo 0.260223 error relativo 0.921425
 documentos 9 12 jaccard sm 0.52 jaccard directo 0.338742 error relativo 0.535088
 documentos 9 13 jaccard sm 0.51 jaccard directo 0.265152 error relativo 0.923425
 documentos 9 14 jaccard sm 0.49 jaccard directo 0.245098 error relativo 0.999196
 documentos 9 15 jaccard sm 0.49 jaccard directo 0.299803 error relativo 0.634406
 documentos 9 16 jaccard sm 0.51 jaccard directo 0.296786 error relativo 0.718405
 documentos 9 17 jaccard sm 0.57 jaccard directo 0.321569 error relativo 0.772559
 documentos 9 18 jaccard sm 0.5 jaccard directo 0.320388 error relativo 0.560604
 documentos 9 19 jaccard sm 0.39 jaccard directo 0.251451 error relativo 0.550998
 documentos 10 11 jaccard sm 0.53 jaccard directo 0.293893 error relativo 0.803374
 documentos 10 12 jaccard sm 0.51 jaccard directo 0.291585 error relativo 0.749058
 documentos 10 13 jaccard sm 0.5 jaccard directo 0.333333 error relativo 0.499999
 documentos 10 14 jaccard sm 0.42 jaccard directo 0.254941 error relativo 0.647439
 documentos 10 15 jaccard sm 0.52 jaccard directo 0.347648 error relativo 0.495763
 documentos 10 16 jaccard sm 0.5 jaccard directo 0.350394 error relativo 0.426965
 documentos 10 17 jaccard sm 0.5 jaccard directo 0.301158 error relativo 0.660254
 documentos 10 18 jaccard sm 0.55 jaccard directo 0.362725 error relativo 0.516297
 documentos 10 19 jaccard sm 0.47 jaccard directo 0.299197 error relativo 0.570871
 documentos 11 12 jaccard sm 0.55 jaccard directo 0.287091 error relativo 0.915769
 documentos 11 13 jaccard sm 0.61 jaccard directo 0.320312 error relativo 0.904387
 documentos 11 14 jaccard sm 0.56 jaccard directo 0.280876 error relativo 0.993755
 documentos 11 15 jaccard sm 0.49 jaccard directo 0.256121 error relativo 0.913158
 documentos 11 16 jaccard sm 0.57 jaccard directo 0.332054 error relativo 0.716587
 documentos 11 17 jaccard sm 0.57 jaccard directo 0.326848 error relativo 0.743926
 documentos 11 18 jaccard sm 0.57 jaccard directo 0.34902 error relativo 0.633144
