Para la k 5 la media cuadrada de los errores es: 0.599616
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 8 13 jaccard sm 0.37 jaccard directo 0.240941 error relativo 0.535643
 documentos 8 14 jaccard sm 0.37 jaccard directo 0.245288 error relativo 0.508428
 documentos 8 15 jaccard sm 0.32 jaccard directo 0.23871 error relativo 0.340539
 documentos 8 16 jaccard sm 0.38 jaccard directo 0.235184 error relativo 0.615752
 documentos 8 17 jaccard sm 0.41 jaccard directo 0.239783 error relativo 0.709873
 documentos 8 18 jaccard sm 0.37 jaccard directo 0.24735 error relativo 0.495855
 documentos 8 19 jaccard sm 0.33 jaccard directo 0.242204 error relativo 0.362485
 documentos 9 10 jaccard sm 0.41 jaccard directo 0.242177 error relativo 0.692975
 documentos 9 11 jaccard sm 0.38 jaccard directo 0.236614 error relativo 0.605986
 documentos 9 12 jaccard sm 0.38 jaccard directo 0.237629 error relativo 0.599128
 documentos 9 13 jaccard sm 0.36 jaccard directo 0.233415 error relativo 0.542313
 documentos 9 14 jaccard sm 0.37 jaccard directo 0.223207 error relativo 0.65765
 documentos 9 15 jaccard sm 0.41 jaccard directo 0.235566 error relativo 0.740482
 documentos 9 16 jaccard sm 0.4 jaccard directo 0.228363 error relativo 0.751591
 documentos 9 17 jaccard sm 0.35 jaccard directo 0.233589 error relativo 0.498359
 documentos 9 18 jaccard sm 0.42 jaccard directo 0.235777 error relativo 0.781342
 documentos 9 19 jaccard sm 0.46 jaccard directo 0.238095 error relativo 0.931996
 documentos 10 11 jaccard sm 0.39 jaccard directo 0.24697 error relativo 0.579136
 documentos 10 12 jaccard sm 0.33 jaccard directo 0.245676 error relativo 0.343233
 documentos 10 13 jaccard sm 0.32 jaccard directo 0.250342 error relativo 0.278252
 documentos 10 14 jaccard sm 0.37 jaccard directo 0.242522 error relativo 0.525631
 documentos 10 15 jaccard sm 0.42 jaccard directo 0.254506 error relativo 0.650255
 documentos 10 16 jaccard sm 0.4 jaccard directo 0.245074 error relativo 0.632156
 documentos 10 17 jaccard sm 0.33 jaccard directo 0.236999 error relativo 0.39241
 documentos 10 18 jaccard sm 0.35 jaccard directo 0.233819 error relativo 0.496884
 documentos 10 19 jaccard sm 0.39 jaccard directo 0.253264 error relativo 0.53989
 documentos 11 12 jaccard sm 0.35 jaccard directo 0.242799 error relativo 0.441517
 documentos 11 13 jaccard sm 0.41 jaccard directo 0.241333 error relativo 0.698897
 documentos 11 14 jaccard sm 0.41 jaccard directo 0.251083 error relativo 0.632921
 documentos 11 15 jaccard sm 0.42 jaccard directo 0.257721 error relativo 0.629669
 documentos 11 16 jaccard sm 0.35 jaccard directo 0.249257 error relativo 0.404174
 documentos 11 17 jaccard sm 0.34 jaccard directo 0.219675 error relativo 0.54774
 documentos 11 18 jaccard sm 0.41 jaccard directo 0.248094 error relativo 0.652599
 documentos 11 19 jaccard sm 0.36 jaccard directo 0.229028 error relativo 0.571858
 documentos 12 13 jaccard sm 0.44 jaccard directo 0.238664 error relativo 0.843591
 documentos 12 14 jaccard sm 0.36 jaccard directo 0.250136 error relativo 0.439216
 documentos 12 15 jaccard sm 0.41 jaccard directo 0.243823 error relativo 0.681545
 documentos 12 16 jaccard sm 0.34 jaccard directo 0.24695 error relativo 0.376793
 documentos 12 17 jaccard sm 0.4 jaccard directo 0.224194 error relativo 0.784169
 documentos 12 18 jaccard sm 0.35 jaccard directo 0.239337 error relativo 0.46237
 documentos 12 19 jaccard sm 0.37 jaccard directo 0.242629 error relativo 0.524959
 documentos 13 14 jaccard sm 0.37 jaccard directo 0.240892 error relativo 0.535957
 documentos 13 15 jaccard sm 0.39 jaccard directo 0.237616 error relativo 0.641303
 documentos 13 16 jaccard sm 0.32 jaccard directo 0.254396 error relativo 0.257882
 documentos 13 17 jaccard sm 0.34 jaccard directo 0.227927 error relativo 0.491702
 documentos 13 18 jaccard sm 0.35 jaccard directo 0.231774 error relativo 0.510092
 documentos 13 19 jaccard sm 0.36 jaccard directo 0.226136 error relativo 0.591959
